"datid","datname","pid","leader_pid","usesysid","usename","application_name","client_addr","client_hostname","client_port","backend_start","xact_start","query_start","state_change","wait_event_type","wait_event","state","backend_xid","backend_xmin","query_id","query","backend_type"
NULL,NULL,5511,NULL,NULL,NULL,"",NULL,NULL,NULL,"2022-07-05 23:25:15.751863-07",NULL,NULL,NULL,"Activity","AutoVacuumMain",NULL,NULL,NULL,NULL,"","autovacuum launcher"
NULL,NULL,5513,NULL,10,"chenchunyu","",NULL,NULL,NULL,"2022-07-05 23:25:15.752264-07",NULL,NULL,NULL,"Activity","LogicalLauncherMain",NULL,NULL,NULL,NULL,"","logical replication launcher"
16385,"mimic",5538,NULL,16384,"postgres","pgAdmin 4 - CONN:8291437","::1",NULL,53577,"2022-07-05 23:25:50.516201-07","2022-07-06 19:46:20.034-07","2022-07-06 19:46:20.034-07","2022-07-06 19:46:20.034006-07",NULL,NULL,"active",NULL,"2672",1494296336602610313,"-- SELECT query, calls, total_exec_time, rows, 100.0 * shared_blks_hit /
--                nullif(shared_blks_hit + shared_blks_read, 0) AS hit_percent
--           FROM pg_stat_statements ORDER BY total_exec_time DESC LIMIT 5;

select * from pg_stat_activity limit 100;","client backend"
16385,"mimic",5533,NULL,16384,"postgres","pgAdmin 4 - DB:mimic","::1",NULL,53560,"2022-07-05 23:25:45.051579-07",NULL,"2022-07-06 19:46:18.640732-07","2022-07-06 19:46:18.656322-07","Client","ClientRead","idle",NULL,NULL,-8.263300922861609e+18,"/*pga4dash*/
SELECT 'session_stats' AS chart_name, pg_catalog.row_to_json(t) AS chart_data
FROM (SELECT
   (SELECT count(*) FROM pg_catalog.pg_stat_activity WHERE datname = (SELECT datname FROM pg_catalog.pg_database WHERE oid = 16385)) AS ""Total"",
   (SELECT count(*) FROM pg_catalog.pg_stat_activity WHERE state = 'active' AND datname = (SELECT datname FROM pg_catalog.pg_database WHERE oid = 16385))  AS ""Active"",
   (SELECT count(*) FROM pg_catalog.pg_stat_activity WHERE state = 'idle' AND datname = (SELECT datname FROM pg_catalog.pg_database WHERE oid = 16385))  AS ""Idle""
) t
UNION ALL
SELECT 'tps_stats' AS chart_name, pg_catalog.row_to_json(t) AS chart_data
FROM (SELECT
   (SELECT sum(xact_commit) + sum(xact_rollback) FROM pg_catalog.pg_stat_database WHERE datname = (SELECT datname FROM pg_catalog.pg_database WHERE oid = 16385)) AS ""Transactions"",
   (SELECT sum(xact_commit) FROM pg_catalog.pg_stat_database WHERE datname = (SELECT datname FROM pg_catalog.pg_database WHERE oid = 16385)) AS ""Commits"",
   (SE","client backend"
16385,"mimic",16899,NULL,16384,"postgres","pgAdmin 4 - CONN:8291437","::1",NULL,57465,"2022-07-06 19:13:19.956096-07",NULL,NULL,"2022-07-06 19:13:20.112094-07","Client","ClientRead","idle",NULL,NULL,NULL,"","client backend"
16385,"mimic",17346,NULL,16384,"postgres","dbt","::1",NULL,60805,"2022-07-06 19:46:17.263805-07","2022-07-06 19:46:17.272678-07","2022-07-06 19:46:17.27423-07","2022-07-06 19:46:17.274234-07","IO","DataFileRead","active","2685","2672",-2.863313541562165e+18,"/* {""app"": ""dbt"", ""dbt_version"": ""1.1.0"", ""profile_name"": ""mimic"", ""target_name"": ""dev"", ""node_id"": ""model.mimic.arterial_line_durations""} */


  create  table ""mimic"".""public"".""arterial_line_durations__dbt_tmp""
  as (
    with mv as
(
  select
    pe.icustay_id
  , pe.starttime, pe.endtime
  , case
      when itemid in (225752, 224272)
        then 1
      when pe.locationcategory = 'Invasive Arterial'
        then 1
      when itemid = 225789 and pe.locationcategory IS NULL
        then 1
      else 0
    end as arterial_line
  FROM procedureevents_mv pe
  where pe.itemid in
  (
      224263 -- Multi Lumen | None | 12 | Processes
    -- , 224264 -- PICC Line | None | 12 | Processes
    , 224267 -- Cordis/Introducer | None | 12 | Processes
    , 224268 -- Trauma line | None | 12 | Processes
    , 225199 -- Triple Introducer | None | 12 | Processes
    -- , 225202 -- Indwelling Port (PortaCath) | None | 12 | Processes
    -- , 225203 -- Pheresis Catheter | None | 12 | Processes
    -- , 225315 -- Tunneled (H","client backend"
16385,"mimic",17349,NULL,16384,"postgres","dbt","::1",NULL,60807,"2022-07-06 19:46:17.266717-07","2022-07-06 19:46:17.273311-07","2022-07-06 19:46:17.276099-07","2022-07-06 19:46:17.276105-07","IPC","BufferIO","active","2673","2672",695002176672842774,"/* {""app"": ""dbt"", ""dbt_version"": ""1.1.0"", ""profile_name"": ""mimic"", ""target_name"": ""dev"", ""node_id"": ""model.mimic.dobutamine_dose""} */


  create  table ""mimic"".""public"".""dobutamine_dose__dbt_tmp""
  as (
    -- This query extracts dose+durations of dopamine administration

-- Get drug administration data from CareVue first
with vasocv1 as
(
    select
    icustay_id, charttime
    -- case statement determining whether the ITEMID is an instance of vasopressor usage
    , max(case when itemid in (30042,30306) then 1 else 0 end) as vaso -- dobutamine

    -- the 'stopped' column indicates if a vasopressor has been disconnected
    , max(case when itemid in (30042,30306) and (stopped = 'Stopped' OR stopped like 'D/C%') then 1
          else 0 end) as vaso_stopped

    , max(case when itemid in (30042,30306) and rate is not null then 1 else 0 end) as vaso_null
    , max(case when itemid in (30042,30306) then rate else null end) as vaso_rate
    , max(case when itemid in (30042,30306) then amount else null end) as ","client backend"
16385,"mimic",17348,NULL,16384,"postgres","dbt","::1",NULL,60806,"2022-07-06 19:46:17.271406-07","2022-07-06 19:46:17.274395-07","2022-07-06 19:46:17.278528-07","2022-07-06 19:46:17.278534-07","IPC","BufferIO","active","2680","2672",-3.0648433239055245e+17,"/* {""app"": ""dbt"", ""dbt_version"": ""1.1.0"", ""profile_name"": ""mimic"", ""target_name"": ""dev"", ""node_id"": ""model.mimic.epinephrine_durations""} */


  create  table ""mimic"".""public"".""epinephrine_durations__dbt_tmp""
  as (
    -- This query extracts durations of epinephrine administration
-- Consecutive administrations are numbered 1, 2, ...
-- Total time on the drug can be calculated from this table by grouping using ICUSTAY_ID

-- Get drug administration data from CareVue first
with vasocv1 as
(
  select
    icustay_id, charttime
    -- case statement determining whether the ITEMID is an instance of vasopressor usage
    , max(case when itemid in (30044,30119,30309) then 1 else 0 end) as vaso -- epinephrine

    -- the 'stopped' column indicates if a vasopressor has been disconnected
    , max(case when itemid in (30044,30119,30309) and (stopped = 'Stopped' OR stopped like 'D/C%') then 1
          else 0 end) as vaso_stopped

    , max(case when itemid in (30044,30119,30309) and rate is not null then 1 else 0 end)","client backend"
16385,"mimic",17347,NULL,16384,"postgres","dbt","::1",NULL,60804,"2022-07-06 19:46:17.271523-07","2022-07-06 19:46:17.273368-07","2022-07-06 19:46:17.27806-07","2022-07-06 19:46:17.278065-07","IO","BufFileWrite","active","2672","2672",-8.470780290599637e+18,"/* {""app"": ""dbt"", ""dbt_version"": ""1.1.0"", ""profile_name"": ""mimic"", ""target_name"": ""dev"", ""node_id"": ""model.mimic.code_status""} */


  create  table ""mimic"".""public"".""code_status__dbt_tmp""
  as (
    -- This query extracts:
--    i) a patient's first code status
--    ii) a patient's last code status
--    iii) the time of the first entry of DNR or CMO



with t1 as
(
  select icustay_id, charttime, value
  -- use row number to identify first and last code status
  , ROW_NUMBER() over (PARTITION BY icustay_id order by charttime) as rnfirst
  , ROW_NUMBER() over (PARTITION BY icustay_id order by charttime desc) as rnlast

  -- coalesce the values
  , case
      when value in ('Full Code','Full code') then 1
    else 0 end as fullcode
  , case
      when value in ('Comfort Measures','Comfort measures only') then 1
    else 0 end as cmo
  , case
      when value = 'CPR Not Indicate' then 1
    else 0 end as dncpr -- only in CareVue, i.e. only possible for ~60-70% of patients
  , case
      when value in ('Do Not","client backend"
16385,"mimic",17350,NULL,16384,"postgres","dbt","::1",NULL,60808,"2022-07-06 19:46:17.271551-07","2022-07-06 19:46:17.273786-07","2022-07-06 19:46:17.27504-07","2022-07-06 19:46:17.275046-07","IPC","BufferIO","active","2681","2672",9152935399174920383,"/* {""app"": ""dbt"", ""dbt_version"": ""1.1.0"", ""profile_name"": ""mimic"", ""target_name"": ""dev"", ""node_id"": ""model.mimic.central_line_durations""} */


  create  table ""mimic"".""public"".""central_line_durations__dbt_tmp""
  as (
    with mv as
(
  select
    pe.icustay_id
  , pe.starttime, pe.endtime
    , case
        when (locationcategory <> 'Invasive Arterial' or locationcategory is null)
          then 1
        else 0
      end as central_line
  FROM procedureevents_mv pe
  where pe.itemid in
  (
      224263 -- Multi Lumen | None | 12 | Processes
    , 224264 -- PICC Line | None | 12 | Processes
    , 224267 -- Cordis/Introducer | None | 12 | Processes
    , 224268 -- Trauma line | None | 12 | Processes
    , 225199 -- Triple Introducer | None | 12 | Processes
    , 225202 -- Indwelling Port (PortaCath) | None | 12 | Processes
    , 225203 -- Pheresis Catheter | None | 12 | Processes
    , 225315 -- Tunneled (Hickman) Line | None | 12 | Processes
    , 225752 -- Arterial Line | None | 12 | Processes
    , 227719 ","client backend"
